Date,Miles,Sleep
7/2/2014,4.63,23965
7/3/2014,3.03,22243
7/4/2014,5.94,12977
7/5/2014,2.43,21264
7/6/2014,3.83,22500
7/7/2014,5.77,4039
7/8/2014,4.23,20253
7/9/2014,5.46,29807
7/10/2014,2.72,22444
7/11/2014,4.84,11938
7/12/2014,1.98,22876
7/13/2014,5.85,3136
7/14/2014,1.84,22817
7/15/2014,3.77,25512
7/16/2014,4.64,22767
7/17/2014,1.95,33299
7/18/2014,4.11,8905
7/19/2014,6.09,16758
7/20/2014,2.16,24916
9/8/2014,0.32,12115
9/9/2014,3.92,30528
9/10/2014,4.82,25920
9/11/2014,0.38,10319
9/12/2014,5.25,35949